CODGEO;NBMENFISC18;NBPERSMENFISC18;MED18;PIMP18;TP6018;TP60AGE118;TP60AGE218;TP60AGE318;TP60AGE418;TP60AGE518;TP60AGE618;TP60TOL118;TP60TOL218;PACT18;PTSA18;PCHO18;PBEN18;PPEN18;PPAT18;PPSOC18;PPFAM18;PPMINI18;PPLOGT18;PIMPOT18;D118;D918;RD18
77123;1728;4170;29180;73.9;5.8;;;;;;;;;69.3;60.9;2.2;6.2;27.3;30.4;1.5;0.7;0.5;0.3;-28.5;15330;60780;4
77124;1439;3940;27480;74.2;5.3;;;;;;;;;90.8;84.5;2.5;3.8;19;8.1;2.7;1.6;0.7;0.4;-20.6;15900;44290;2.8
77125;1595;4191;22870;58;7;;;;;;;;18.4;88;83.9;3;1.1;18.2;5;5.2;3.1;1.3;0.8;-16.4;14070;34240;2.4
77126;1447;3814;22350;55;10.2;;;;;;;;26.7;82.6;75;3.2;4.4;20.4;8.4;5.6;3.1;1.6;0.9;-17;12920;35650;2.8
77127;1732;4270;25680;68.2;5.8;;;;;;;;;79;74.2;1.7;3.1;29.7;6.1;3.2;1.7;0.9;0.6;-18;15560;40060;2.6
77128;1838;4671;22650;58.1;12.7;;;;;;;9;29.1;79.5;72.6;3.1;3.8;23.8;9.3;4.5;2.3;1.5;0.7;-17.1;12320;36620;3
77129;1869;4653;19930;46.9;19.7;;21;21.9;;;;;33.5;75.4;69.3;3.9;2.2;25.3;6.1;8.1;3.3;2.9;1.9;-14.9;10150;31980;3.2
77130;1791;4691;22060;53.6;8.7;;;;;;;;17.2;82.9;78.1;2.9;1.9;22.3;4.3;5.8;3.2;1.6;1;-15.3;13590;33980;2.5
77201;1916;4874;26020;69.8;5.5;;;;;;;;;89.8;83.2;2.6;4;19.8;6.7;2.7;1.7;0.7;0.3;-19;15870;40810;2.6
77202;2387;5752;27540;70;6.8;;;;;;;;;74.9;64.9;2.4;7.6;28.7;19.1;2.3;1;0.8;0.5;-25;14940;53710;3.6
77203;2292;5802;23500;60.5;8.8;;;;;;;;20.3;81.8;75.9;2.9;3;24.3;6.5;4.4;2.3;1.3;0.8;-17;13590;35820;2.6
77204;2462;6695;25790;70.8;5.7;;;;;;;;15.6;88;83.4;2.6;2;22.4;4;3.5;2.2;0.8;0.5;-17.9;15290;38890;2.5
77205;2868;6724;19480;41.5;18.7;;24.2;20.9;19.8;;;7.2;33.6;67.3;61.3;3.4;2.6;29.9;7.8;8.7;3.5;3.3;1.9;-13.7;10470;31150;3
77206;2788;8507;25740;70.1;5;;;;;;;5;;91.6;86.3;2.7;2.6;17.9;4.4;3.7;2.6;0.7;0.4;-17.6;16690;38660;2.3
77207;3410;8618;18930;43.5;21.5;34.8;28.9;24.8;19.9;;;6.7;34.9;72.5;66.5;3.4;2.6;26.8;5.8;9.5;4.3;3.1;2.1;-14.6;9980;31360;3.1
77208;3783;9646;31320;78.3;5;;;;;;;;;82.8;74.8;2.4;5.6;25.8;13.7;1.8;1;0.5;0.3;-24.1;17940;55350;3.1
77301;4952;11773;21030;52.4;14.9;;18.4;17.9;13.4;9.8;;6.6;27;77.9;71.2;3.1;3.6;25.8;6.3;6.5;2.8;2.3;1.4;-16.5;11350;34790;3.1
77302;4952;12221;26260;71.6;6.2;;;7.3;;;;5;13.8;83.5;77;2.5;4;24.6;8.9;3.2;1.6;1;0.6;-20.2;14930;43140;2.9
77303;5851;12943;18600;44.8;23.1;26.1;29.7;30.1;22.8;15.4;;7.8;32.6;69.9;59.5;3.3;7.1;28.9;10.2;8.8;3;3.6;2.2;-17.8;9640;35720;3.7
77304;6093;15948;25040;69;7.4;;9.7;7.6;6.2;;;5;18.6;89.6;84.2;2.9;2.5;19.2;5.9;4;2.3;1;0.7;-18.7;14370;39090;2.7
77305;6387;16485;23820;63.6;11.5;;14.6;12.6;10.8;9.3;;5;24.1;83;77.2;2.8;3;22.8;8.5;4.8;2.4;1.4;1;-19.1;12550;38560;3.1
