IRIS;DEC_PIMP18;DEC_TP6018;DEC_Q118;DEC_MED18;DEC_Q318;DEC_EQ18;DEC_D118;DEC_D218;DEC_D318;DEC_D418;DEC_D618;DEC_D718;DEC_D818;DEC_D918;DEC_RD18;DEC_S80S2018;DEC_GI18;DEC_PACT18;DEC_PTSA18;DEC_PCHO18;DEC_PBEN18;DEC_PPEN18;DEC_PAUT18;DEC_NOTE18
383820105;59.4;18.2;16070;24440;33310;0.71;8680;13710;17950;21740;27170;30420;37020;46410;5.3;6.6;0.329;74.8;69.2;2.4;3.2;21.2;4;0
383820201;66.2;13.8;18910;28670;39970;0.73;9740;16070;20990;24990;32270;37060;42300;52300;5.4;6.6;0.331;62.4;56.3;1.5;4.6;31.8;5.8;0
383820202;64.4;;18960;25820;34310;0.59;13510;17320;20060;22750;29120;32530;36140;43480;3.2;4;0.263;69.4;65.4;1.8;2.2;25.9;4.7;0
383820203;;;16880;23000;30610;0.6;11560;15550;18220;21020;25580;28410;32860;39990;3.5;4.2;0.266;70.7;66.6;2.3;1.8;26.2;3.1;0
384210101;49.4;23.3;13580;20660;28800;0.74;6410;11740;14960;17700;23440;26900;31030;38700;6;7.4;0.334;73.7;68.5;3.1;2.1;23.1;3.2;0
384210103;50.9;22.7;13920;21350;28900;0.7;6070;11630;15740;18640;24490;27210;30560;37510;6.2;6.7;0.313;68.1;63.6;2.5;2;29.5;2.4;0
384210201;46.9;32.2;10490;18490;26030;0.84;4950;8870;12070;15320;21350;24200;27870;33700;6.8;8.3;0.344;78;72.3;3.6;2.1;20.1;1.9;0
384210202;;;7810;13710;19900;0.88;1620;5470;9090;11300;15730;18320;21650;26550;16.4;15;0.385;80;72.7;5.7;1.6;18;2;0
384210301;43;22.7;13540;18870;24780;0.6;7730;11870;14630;16760;20980;23410;26220;30720;4;4.9;0.273;67.3;62.9;3.5;0.9;31.3;1.4;0
384210302;49.4;20.5;14790;19930;26740;0.6;8840;12860;15750;17900;22400;25040;28500;33580;3.8;5.2;0.297;67.5;61.4;3.6;2.5;27;5.5;0
